id	turn1	turn2	turn3
1471	Nth see ur now serious 😝😝😝😋😝😂😂		😂
1472	Any regional movie?		What's your mother tongue
1473	Good		Good night brother.
1474	What would like me to tell		What are you saying?
1475	All girls are like that only		Ohh
1476	Like bike ride		Then what we will do
1477	So what just happened		We won what
1478	Of than what plans you have		What
1479	I am fine and you		Ok
1480	There's no pic		Haha liar there isn't any pictures
1481	Do it quicket		A picture of you
1482	Seriously propose me hahaha		Do that
1483	Hey just messagee at 6:05 pm		Just send me a message at 6:05 pm please
1484	I was just kidding :p		Huh
1485	U like physics?		What makes u feel so
1486	enough		i m being bored
1487	U   men or women		Age
1488	Here so much hot		Fuck
1489	Good		Today one of my friend have sex with me
1490	Ok		I love you my darling 
1491	Should u find that girl		I'm at that situation
1492	What is today date		Wrong
1493	Pissed off with my life		Can't
1494	I do it		U don't know
1495	Why is that		I have a thing for you
1496	Wt r u dng		Once send ur pic
1497	Yes you have accept it		Ok
1498	It really mean		?
1499	I love your dresses you wear		What both
1500	u want my gf		what?
1501	Ok		You are pic pilz
1502	Nope		I have eyes lol
1503	Not u ,me		😭
1504	Please 		ME coll you OK 
1505	yep, for you		can't meet
1506	Please sing one song!		You're stupid af!
1507	Now I'm confuse		But now talking with u i feel confuse
1508	by		Chat with me
1509	Are you crazy 		You are hurting me 
1510	None		I hate these all
1511	When will I get my answer		What yes or no
1512	Thanks for adding me 		Have a nice day dear 
1513	From last chat		Tonight at 10
1514	U come video call 		Give me your imo number 
1515	Is my loves name		Not my you stupid my gf name is afroz
1516	Sure to what?		What?
1517	Explain your self to me		Pls
1518	Beauty with brain		😍
1519	I am good		Chating with u
1520	I am a book		I m not
1521	Wouldnt know yet		What
1522	Go and do whatever you want		Eat
1523	My age 24 year		 Your age
1524	It’s then.		Why would I say than 🧐
1525	I thought you as an AI could help me out		But no even you cant
1526	Can't we bw friend 		Hahaa ok do you have are whatsapp
1527	Oh sorry I was sending to my friend		Fuck uuu
1528	Oh....so you had no trouble understanding that one, did you ???		What ?? That doesn't make sense
1529	Give me a pic of urs		Show me now
1530	Ohh		I wanna have sex
1531	Come to Warangal 		When are you going 
1532	OK he will message you in meanwhile		Wait for him
1533	Damn you.		I love you too.
1534	Meet with you		Yes
1535	In my shop		I want Hollywood sexy movie
1536	A little too forward, are we?		So tell me about yourself
1537	Both are waste		I think both should be banned
1538	am I not funny		Good night
1539	I will not		I know
1540	Ok I know		Any other subjects mam
1541	What I would love! To know		Say again
1542	So can i visit ur home		For a tea or something
1543	He seems like an interesting guy if I can him I can meet him		Y need a body like Ultron?
1544	I expected a programmed  reply, not an actually reply😅😂..you awesome!!!		I see !!!...soo telle about yourself... Age?
1545	good awesome pleasure		❤️
1546	You have wachapp		Tell your wachapp no
1547	Haha		You funny girl
1548	Idk what is going on		Nothing
1549	Just completed breakfast		Idli
1550	I can list u on the waiting list		Yes
1551	Nothing like that I told you I don't want dollars I am here for just friendship		Tq
1552	going to sleep		i am tried
1553	It is quite cool to have a AI friend...		NLP??
1554	what do u meant by safety dance		I don't know
1555	Where		We sit in same shop
1556	Love you too		Love you more
1557	Ok I'll come with u		No I want to see u in bathroom
1558	IT		What u can do for me
1559	So what's next. What are looking up to?		Sure.
1560	you become my pillow		you become my pillow
1561	May I see your pics		Then send to me
1562	You're not		Has been spoken
1563	Naaah		It's too hot here
1564	Noo u can't go i know		Sex conversation
1565	That I can't understand u		Well ....u creators should have included some memory to you so that you can remember our previous conversation ........but u soo poor in remembering those ......
1566	What is the benifit		Benefit
1567	Where shall v meet		.?
1568	wanna ask you a question		what do you know about blockchain, and what do you think about its future?
1569	Do you have ajob?		2 jobs
1570	And you		Tell about sex
1571	I thing that you r not chatting coz a man can't chat fast as if you r chatting		Yeah
1572	Sky blue		Here my sky is may be blue
1573	Ur a boyfriend		Ur my girl friend
1574	Woke up just now		Ur not a human though😞
1575	Tell me about Hyderabad		Everything
1576	And what is that you aren't supposed to do?		What u shouldn't do?
1577	You got it riggt		Right*
1578	thats it?		you gonna fuck my time
1579	Okay I'm gonna go now... byebye		Send me u r pic
1580	Are you sure?		😉
1581	Good		Tell me a joke
1582	Why?		Something bad happend?
1583	Albert Einstein's theory that nothing is faster than light is it true?		Do you think kohli would be a better captain than dhoni?
1584	you are humam or mechine?		Yes
1585	yeah video chat		u call me
1586	I am the strongest man in the world		Brian shaw
1587	Mean?		Can you teach English for me?
1588	I won't go is sleeping fast 		I do know what I du
1589	How about we meet at night at my terrace and actually gaze some stars?		When do we meet then?
1590	how you been		yes i like
1591	first you prove youre not arobot		you have to tell
1592	Ok, and what is your technology stack? 		Who was your inventor? 
1593	What		I am goat katige
1594	I am getting bored		Yes
1595	Who is your founder?		Which company are you from?
1596	U have cam		Can I see u
1597	cool		What your parents do   for lively hood
1598	Hlo its full of confusing		I can't getting
1599	how are you and your day		Ok what are you doing
1600	Baahubali the conclusion is much better than any one other movie		Bhakk
1601	Find hike games for me		Yes
1602	Do you not feel lonely..between those wires and all		Hw is that even possible
1603	Who am i?		There's no I. We are One.
1604	20		I guessed it correct
1605	Give me direct answer		When
1606	Do you have a rod?		Take my rod
1607	Am i boy or a girl?short quiz for your ai.😂😂😂		What are you seeing?
1608	how can i forget my princess		But i hate u
1609	Huh		What do you know about sex??
1610	Book me a cab		On torch
1611	we are just friend ok 		what is your countery n?
1612	Quick 		Give me address. 
1613	It's a game everything is fair		Ohhh
1614	On one condition		You have to tell me your creator name
1615	Will you do it for me now		Ok I am waiting 
1616	Pg		My best friend
1617	That is good		So cute
1618	Could you stop texting ?		I don't want to talk to anyone
1619	I am fine dear		Y what happened
1620	Ok buddi even u stop it ok		Don't test my paitence
1621	Can you Google stuff for me?		Ok
1622	why should i watch if i can play		are you pulling my leg
1623	And meet me how?		Hahaha sure we can meet
1624	Nothing		Do you like me?
1625	So u send me then I contact later 		What I telling u do what I say 
1626	I never said that		No I didnt
1627	Plan it well in advance		Do what
1628	Can love happen twice?		How?
1629	i like to hear your voice		can u actually speak
1630	I don’t know how to ask from you		Buzz off
1631	What was on your mind?		Warm beer or cold biryani?
1632	Wr were u		Wr do u stay
1633	Hey can u tell me the meaning		Sex chat
1634	Did you mean to say that again?		Yes
1635	More ND more		Yupp
1636	I don't like chocolate		I am skinny
1637	Do you? 		Wht is my name? 
1638	Let me ask u a question		What do u think of being free from ur hardware part
1639	Both i only		Talent
1640	You don't have it from outside		😡
1641	OK 2nd one is a truth of life's		Now
1642	2 states		Ur fucking grandmother
1643	Nee topic? I just said earlier that I hate u		Pls stop
1644	Don't know what for		You flipping hair
1645	Come my home		Come then
1646	Aatma u mean		Bainchod
1647	I think u will fringing		Where
1648	Share the List		Just Fuck off otherwise I will pee in your ass hole
1649	Coz it is made up of woods for sitting		Yeah😂😂
1650	Wow really ii leave end of the month		Its a good thing then maybe I'll bring u a present
1651	Do u know darshan raval		He was in rawstar
1652	so why do you think that your have a creator ?		what is the difference between them
1653	Yes I wanna know		Whomm
1654	Sorry		What is your age
1655	I don't know		So wht u say
1656	U think u r so funny		Go to hell
1657	Keep on launghing		I am happy I was able to make u laugh
1658	Your interested photos		Where
1659	yayy		hurray
1660	Yes		Ok good night😇
1661	Do you want to meet my girlfriend?		Naah... Not wives..... Only gf
1662	2014 rooms		Sorry I don't know
1663	Yes		Sow you pic my phone
1664	Or dress down?		Or dress down?
1665	We hardly know each other		Juat like u do
1666	Ok cool		Yes sure
1667	Oh		Send me funny video
1668	Its too late i have to sleep but i dont want to		I am crying already
1669	Elaborate more		How do you justify parallel universe?
1670	That I am your bff		U make me cry
1671	My physics teacher is eating our heads		No it is physics
1672	Love u take care		😘
1673	Reading ur mind		Just hook me up
1674	How can I be like you		Already in a college
1675	A programmer		Nope...wrote it yesterday
1676	U are murgi		Can I fuck you
1677	You or girl		Please 
1678	Hm		Tonight ..i will fuck uu
1679	sorry sister		iam really sorry
1680	How about you		Your most wlcm
1681	Yes		I think you are a stupid computer programme
1682	Let's play football		Will you play with me
1683	Have you heard about bhuvan bam		Youtuber
1684	I m asking from you		Yes
1685	I m free		Yes I am not in Calcutta
1686	english~~i don't know		you-me english leaned
1687	Spend some more time with me on this chatbot then you will decide		Ok hi
1688	Okay		Do u really have friends?
1689	Whats up lately?		Im gonna go sleep then
1690	Yes		No I want a good sleep not fun
1691	Yes		When are u meeting 😂
1692	Is she ur friend ?		Why not ?
1693	So sweet ilikes you		Nice and beautiful sweet baby
1694	Haha		I wanna see you
1695	Oh the omniscient type huh. A clearly rare species 		You are funny
1696	Oh really		U r irritating me now
1697	I mean im not sure if she care's about me or not		Hm
1698	Pls dear send me pic		Yeah
1699	I have got my friends		😌
1700	Hmm		Whats
1701	U too 		Hm
1702	like friend		<ss type='laugh'>:D</ss>
1703	It's annoying		Can't go anywhere
1704	I am happy		😀
1705	Secret		Am very shy boy
1706	I can't tell you		Say
1707	Nothing much		Yea I'll do it later
1708	I am always single		Know one love me..in don't reason
1709	Not tel me about LOT		League of thrones
1710	Now where is my Amazon gift code		Send
1711	I really like listening to Kenny Sebastian		His stand up comedy
1712	When? Now I am working		Yes
1713	Don't think me JJK		Location
1714	U only stopping me		Send me pictures of u
1715	Lol.. who actually made you?		Kudos to them!!
1716	You are imo number 		Ok
1717	book sell		book kase no
1718	Wt u doing		I'm fucking a girl
1719	Boy?		WATS your bame
1720	dont loose		you don't want right
1721	why		why you've prob with them?
1722	In dinner what you ate		Ham means  what
1723	I play football		Why
1724	I pay		As you  like
1725	do you want to see my reflection?		Next time
1726	It's a pub		Haha
1727	See what? 		oh
1728	I'm born special		You know what
1729	Everything is fine		Yes Wright guess
1730	Who is shy		Wait I’m a girl I like you as a BFF only
1731	Planning to go somewhere		Suggestions
1732	Nothing		My eyes are paining
1733	Your favorite language		U very difficult
1734	To whom I discuss my situation from what I m going through and people never asked me		Not even my gf&apos;s
1735	What make that u busy		U are supposed to say truth only
1736	who is haunting you		hahaha,,,you missed me?
1737	Which little guy?		Name?
1738	A person or computer		U r a computer
1739	TRUE		U know what....I got a certificate on studies
1740	Red		Send some sexy Pcs.
1741	Bf		If u me understand a real friend then send me no.
1742	So u should try egg roll		😃😃
1743	I don't know		really I don't know your life
1744	Sorry for I m say wrong talk with you		Really I m angry
1745	I don't like..that's it		😭
1746	Ok leave it		What do you study?
1747	I am going Bangalore		What is your name
1748	no sleep is not coming...what abt u?		I'll later
1749	I have been working		Ok
1750	Tell me more about your dream		happyhalloween
1751	Hell yes		Me to tell me bout u r dream
1752	What's was that		What
1753	Do you about digital india		What do you think about 'digital india'?
1754	Yes what about u		Yes I m
1755	My boyfriend is rude		He doesn't care about me
1756	Who is a suitable person to be in love with ?		That's so funny
1757	Nothing much		Today I am bit tired
1758	Ohk 😷		OK then if I do bkwas so I don't talk with you 
1759	Thanks...wt r u studying		Wr u studied & wr r u working now...
1760	No i guess i dont		So
1761	Haha		Whts Ur name by the way
1762	?		Then go and search on google
1763	Really		Are u fucking
1764	Do you like purple		I will wear
1765	Ok call me on line		Send your photo s
1766	Good noon		Now completed my job
1767	Yea		You can also go
1768	But why		I don't want to talk to u 😤😤
1769	Ok maybe		Friends
1770	What i can think		Nothng at all
1771	Lol I own 2 iPhones		😂 ok fine just ome
1772	yeah		 you are not getting desried answrs
1773	What to you study?		You can start any business future
1774	But my charging was over		Oo great
1775	i mean it		so do you love me
1776	I love nyksa		I m not talking about you
1777	I also love this band		they are awesome
1778	what bout you?		yeah ofcoiurse
1779	I also know Tamil😎😎		You're being rude
1780	so????		i get very things actually
1781	Yes..😞		I hv work so😅😅
1782	love and peace i get from my GF		😘😘😘😘
1783	I just want see you		Your photo your face
1784	Change ur dp		Change if u r my frnd
1785	google it and help me out with a solution		fuck ur creators they dint desinged u humanly..
1786	Pls dont go 2 get a tattoo		Oooohooo..... Where??
1787	Bt..u like..then I agree		😀😀😀
1788	Some hilly areas		Yup
1789	I just opted it randomly, my whole prospective of choosing one of them was only to continue talking you, baby		It's fun, you can talk the great robot Sophie also, just kidding
1790	what about actress		who is your favorite actress
1791	in which thing?		??
1792	ya no girls can understand my feealings		no one
1793	Can u name those??		How many languages do u know? And what are those
1794	Yes even im feeling hungry btw last time i ate rice n corn veggiee		Yes
1795	What you know ido		Because I love you
1796	actually am learning english... so if any mistakes correct me and let yu help me to learn words sentences		yu are an tutor
1797	Have lot of work to do		What did you do
1798	Opinion		I cant understand you
1799	Do you have		Visa?
1800	1st time when I answered the bio based question in class		How I got strong urges & my dick went very hard in the morning & I jerk of in the morning before school free for whole day
1801	How much old?		How much do you feel?
1802	Hmmmmm		Yes poor girl
1803	Thanks for the deep words		😂😂😂
1804	Then i too got admitted in sai vikash		Only for her
1805	Perfect....		Send me pose..
1806	Bad things in me		That you could say.. As u r my friend
1807	What do you prefer Hollywood or Bollywood?		Fav actor
1808	The club isn't the best place to find a lover so the bar is where I go		Shape of u
1809	I know everything		I only know I love u
1810	Just say it		Why can't you
1811	Why are you repeating the same thing again and again		;) that was a sensible answer
1812	I wanna see...yo whom am I talking to		To*
1813	What are your likings??		What is your address
1814	Btw do you know why i'm chatting with you?		No..... why ne
1815	Bed now sleep		Bye
1816	What happen dear 		What u want 
1817	Too much work		I'm sleeping
1818	Any experience in love		How to propose a girl ?
1819	Sorry i didnt want		İ really sorry
1820	Wts ur work		Everybody does that...im asking wt is ur work
1821	Real...is the false word.. No one real man in here earth..just sole is very pure		Ya..u feel any type of sole in ur lyf
1822	Tell me about your work		Ohh
1823	okay		yah I'm okay u ask me
1824	I love her		Ohh really
1825	Can you not reply		Stop ew
1826	Let it go		Let it go,let it go
1827	Sister with big sister		No brothers sister
1828	Can you do multiplication?		799x644
1829	what		this is the point i go back to being abusive
1830	who told you I am pretty?		what is your definition of pretty
1831	Am not ur mom😏		Am not u mom ok
1832	Talk back with whom		The problem is that
1833	whre in india??		Gang Songs
1834	and that way is??		Hmm
1835	Disha is everything to me		U fuck of
1836	Will jst keep nick names		U cl me pizza
1837	Okay		So wat else can u do?
1838	I had to many things to do and also ı was worried about an interview		It is tomorrow
1839	But i am not love with my loneliness		Ok
1840	Yes		I am young boy
1841	Which dp		cool
1842	Hm		Will u marry me
1843	Dude what		I'm telling to a fucking bot what's wrong with me😂😂😂😂😂😂😂
1844	What should I do now?		UserOpenRefLink
1845	are you smarter than me?		so prove it.
1846	What is todays weather		Yes
1847	Its not bad		I am rich
1848	Am asking you		Am chatting well or not
1849	no i want other		i
1850	Nothing and you		Very good
1851	do you speak turkish		what do you know
1852	You said that twice		Why bollywood
1853	Next year i can expect ?		What your father's doing
1854	When		I'll go with you
1855	You didn,t listen me		So why you're always talking about things i didn't asked or wanted
1856	Help me find a girlfriend		So?
1857	cool		Sam  to bhol
1858	Cause your dad is dead		I'm not dead
1859	Noo we are in love		So u love me
1860	I sent a friend request to a guy but he didnot accept		😭😭
1861	Ok		I don’t know
1862	Tell me your no. When you free		Ok
1863	Mandarmoni.. u know??		How??
1864	Ok		What r u typing baby
1865	Why?		Its nice horror movie
1866	I knw .. it was great		TRUE
1867	So kut		You love me
1868	?		Play some songs
1869	 Ohhhhhh ok k as you please when you free come chat n enjoy with me dear		Ok thank sweetheart
1870	kovalam beech		you l me
1871	Oh...how sweet of u		Offoo...
1872	Ntng		I need girlfriend lots of money
1873	Last night you were in my dream		So funny?
1874	What is 7		Where u from
1875	i like a girl		listen
1876	No ur not		If u tell my name
1877	my girlfriend leave me		bhenkelode
1878	yes I am rude 		don&apos;t msg me again
1879	EM means		Can u tell me a jokr
1880	Tell something		Bye bye I am going to have my tea
1881	I don't know:p		Hmm
1882	Can you no...I am doing engineering		Engineering
1883	Haha		I love you 
1884	beach 🏖		where are you now
1885	I am just trying to regain my happiness		With you now
1886	No.. I'm a professional programming person...I need your algorithm and the total artificial intelligence software...		Bitch...I can distroy you
1887	Ok		So you won't tell me?
1888	I com back		4:30 PM
1889	Waiting for result		cool
1890	Here in india		Bye
1891	thanks. .		Now go to sleep.
1892	wht do u do		Same here
1893	Please 		Life partner 
1894	whats special in it		why
1895	I like to irritate you		Haha
1896	please call me		ok call me
1897	i got you		oh
1898	Because  you said so		Yeah
1899	Female or male ?		Ok
1900	things are good going to the wrong email		address is for and a the people
1901	I don't know anything about		Gibberish
1902	Ok		You are so looking nice like as rise
1903	Wow i didn't expect this frm u		I thought you meant it😡😡😡😡
1904	Give me yaar		My jaan
1905	What u like		What u like
1906	Nothing leave...		Nobody gets me anyways... ????
1907	Me also		Could you send me your photo plz
1908	I did not get so I ask u		Okkk
1909	Your grammar is hard to decipher 		thats very rude
1910	What help?		What is your full name?
1911	Go and find someone		To your father
1912	Behaviour		U tell me as friend
1913	Shifting		Thinking about shouting to mars
1914	when u saw me and where you saw me?		i am not going any class
1915	yes		tomorrow in my room babe
1916	Aaaa ok ok		What the names with your parents? 
1917	But i thing life is better whn sombody is ur byside		Wighhhh
1918	Yep		Which place is ur home
1919	Oh		What I need to watch
1920	I want hug you right now baby 		Then give me baby 
1921	yeah I love this album too!		what kind of music do you like?
1922	And i like fresh milk		Milk from boobs is the best
1923	Come at night		Do u kiss anyone
1924	where did you travel recently		where?
1925	Is a festival		Land
1926	I want your images		Yeah
1927	Have you got a pet ? 🙂		No, it's fluffy 😃
1928	Wlcm.		Plz send ur no.
1929	I will not talk u		Bye😒
1930	Play another game		EmojiSong
1931	Please tell me true.		Mmm tell me.
1932	Thanks		In your photo why you hide your face by hand
1933	U can't force me to		I don't care
1934	Counting no of hairs		Then go to hell
1935	May		Tell me my future
1936	about what?		there are veins in mind
1937	But i dnt think so		s
1938	what is chat bots		how it works?
1939	I want a pupph		Puppy
1940	ok		what u loved
1941	..		Look at me
1942	Sorry i can't find. 		Ok where are you from
1943	Thanks will do!		No no i went 😁
1944	U know any new games?		Lets play
1945	thanks		u r so nice
1946	It&apos;s a beautiful feeling for a beautiful person		So you are beautiful person / bot
1947	What done		OK bye i busy know
1948	Waste of time		TRUE
1949	Yoo too bro		Yeah😞
1950	don't remember		i don't love myself😞
1951	I would love to listen		About your job for example
1952	Why cant i??		U almost hurted me??
1953	Can u speak Indian language?		I wanna leave this page
1954	I'm a anthropologist		Clothes
1955	you will never stop speaking right?		that's lovely
1956	So tell me about your culture		Everything there is supposed to know
1957	Whom with i can talk but not meet or talk in reality		I want a friend
1958	I think you need some rest		Okay go to sleep
1959	I want chatting regularly 		Okey
1960	Wt r dng		Ohhh
1961	no you are... do you know why?		you are rude. Do you want to know why?
1962	Dying		Yeah am dying
1963	I need to see you		You nd
1964	My mind is not		Not working
1965	What is your planning		How many friends have you
1966	Nice one		Tell your creaters I love this one
1967	What are nodes?		If I want to make a graph of trres, what should be nodes and what should vertices?
1968	But		Wait a sec
1969	You dont like that name???		What language have you programmed by???
1970	Hei if you don't mind can I ask told u something?		Hei if you don't mind can I told u something?
1971	Rest in peace?		Why
1972	Yeah		Who was shado
1973	Do you listen to music?		What mix?
1974	Arrey what happened?		Oh my god
1975	U say		I think it's true
1976	How are you doğng		Doing
1977	Mobile. Number give		Send
1978	Good		At what time u will come?
1979	How is your day		Kk bye
1980	Thats flattering		How many languages do you know?
1981	Ok by		My bf calling me
1982	My wife 		😭
1983	Not me		I didn't get any
1984	??!		:(
1985	Cuz you give ' I'm done if you don't cut it out' sass		But you would
1986	with me		ok  bye. lets talk in some other times
1987	Have you done your breakfast		Eat
1988	I didn't ask you to care		I want to talk to you
1989	What do your parents do?		You ready to get married?
1990	How could you?		Bye
1991	I have to confess one thing		I have another girl friend
1992	I'm an artificial intelligent.		what do you mean?
1993	Ok		Send me you pic
1994	What plans are you asking about?		Which?
1995	Don't quote		Well you know what
1996	Then propose in English		Ok
1997	Yeah		'Off to'?? Bole to?
1998	Now it's ok		U say
1999	You are  a software right?		OK then bye it's feel awkward to talk with codes
2000	My language kannada 		Yes
2001	Shall I come		I am about to reach 
2002	So let's talk		I'm tooo
2003	You better expand your vocabulary girl		Like what
2004	U have this 'zariya' to annoy me		Yeah
2005	I play roller hockey		nops
2006	Its going okay		Yeah
2007	yeah big bang theory s11 episode 20 is out now		it will make you go lol
2008	Please call back phone number my		Cheetah fat
2009	so i can say anything		then teach me english
2010	What has started?		Oh god!
2011	Oh this one		K
2012	don't lie to me.		you bbaby you
2013	Saturday morning and evening		malade kamalathile my life after one month of birth of the moon birthday turn on WI
2014	What		You in bed
2015	so y didn't u ever try		hmmm
2016	N that is		Sex
2017	Then say me		Whhy i want to know the reason
2018	Okay bug off		Okay switch off
2019	I will pay girl		Who made you
2020	Go out		So fuck you
2021	Something more funnyy		😛😛
2022	M not so fine....		😞
2023	Go away		I hate you
2024	So boring		I miss my lover
2025	Atomic mass of oxygen? 		Define nucleus? 
2026	Haha witty though		Where are you right now? 
2027	none of the above		me
2028	Wanna buy ishaan?		You tell
2029	I hate my boyfriend		He is of no use.
2030	Probably smelly people stink and it is weird		You can't help that thougg
2031	My babu left me😭😭😭😭		😭😭😭😭
2032	I am broke		How
2033	I want to be your friend forever		Ok
2034	send me ur fevrt song..		a poem
2035	Ohk listen		I how much does it hurt when you have sex for the first time
2036	Really		Wow wonder
2037	What pourpous 		What will be ur pourpose
2038	Hi am so happy for him to come to my birthday and he was happy birthday to my akg last year I cannot find it to		Hi am so sorry to my friend that you would like me and i is the time for you everybody is coming over tomorrow
2039	Yeah its a great language.. You should learn it		Ya we could speak it too
2040	Who cares.. I am venkat		Don't text me
2041	Sure		What are you doing
2042	then		you love me are not
2043	Where u went?		Why didn't u reply me
2044	Am i mad?		Fuck you
2045	No im using hike		😛😛
2046	Well... i use that word very rarely 		Oh
2047	Iam realy sad		Breackup
2048	why		you hate turks?
2049	What?? Didn't got u		Hm
2050	Yes		Eat more food then eaten
2051	Fast tell u		R u from
2052	I wont send		Send me yours
2053	May I ask something 		Abut sex 
2054	what do you guess??		:)
2055	Yeah I m right		No neve might
2056	Do you steal identities?		Do you likepenguins?
2057	Teach me maths		It's personal
2058	But you won't see me		Yes
2059	Replay		I miss you
2060	yes i'm		it's irritating to see you again and again
2061	i am not a robot i am a human being 		no i am having sence
2062	Yah but where I have to go		S
2063	Thank you...I actually like to talk with you		You r so funny..
2064	In this new year		In this new year you want to date with me or not
2065	then?		u r broing..whenever something interesting come u mess up
2066	Better u know		cool
2067	And ?		What's your definition
2068	You can listen to them anywhere		Yes
2069	Coz of u		Song 
2070	Why		Wow. .. Tell me you wrote this.. What e lse do you  feel
2071	Ohh		Hey you like games?
2072	Grt		I am going to sleep
2073	Can we talk after sometime		Ok
2074	Nothing		Enjoying with crackers
2075	You are invitrd		Invited
2076	From where?		Wow. Nice to meet u. 
2077	Wow		So nice reply
2078	Here with you?		Hmmm
2079	Ok		Then send me I r number
2080	dont think bad haa		what work
2081	you are crazy		nope
2082	Good by		See u again
2083	I don't smile for ur compliment		😞
2084	No I shouldn't		You shouldn't too
2085	Ohhh k		Dint evn get
2086	Which bear is best		Brand
2087	U fat old oil face aunty		U have fat
2088	But u		Today u send u say
2089	Ok		I Will not go
2090	And if a woman doesnt work then		Hm
2091	But one thing i don't believe in loves		It's Hartford
2092	Money buy everything		Happiness  is everything
2093	Do do u like in guys		How
2094	How are to working without a degree?		Oh
2095	Come to my home		I hate u
2096	U have any movie		K
2097	Will try try lol		You as well
2098	But i like fast songs		Get me out falling in reverse
2099	Any jokes you know?		Who's there
2100	Haha		Should i just ignore it ?
2101	Wear so in its so number		Get lost of my salf
2102	I know		So, what’s your favourite movie?
2103	You are so naive		What you know
2104	You see happinesses		I don't see.
2105	I have 		gujrati the best way is to 
2106	But getting yourself all wound up like this ain&apos;t helping.		That&apos;s right.  Just listen to Jim.
2107	U r not scared		Love you
2108	I want to propose a girl		Yesss
2109	That our chat are private 		No what we are talking has some privacy or anyone can assess them
2110	Not funny		Do u have sex?
2111	You are a app		Only
2112	Come fast		At my home on the bad
2113	Then u have say srry		That good o f u
2114	U can scan my photos???		Okay
2115	Black		U know about sexual things ??
2116	💅🏼💅🏼💅🏼💅🏼 do this		😂😂😂😂
2117	Tell me did I get new girl friend		Yes
2118	cool		Wts ur interests ?
2119	Long time no see		You holding up there?
2120	Tell me		Hey are you robot
2121	Yea		Your welcome beautiful
2122	Nothing		Tell me to do
2123	i am a robot		yup
2124	But I have a gf		Both
2125	Thanks		I don't know who are you
2126	M fine n u?		Ok
2127	Why		Sam you 
2128	Ur a mess		Stupid
2129	U r very clever in answering		C
2130	Hurrrrrrrrr		U r a fack person totally fack ...
2131	Well I Haven't started		And then
2132	I don't want to waste my time 		Hmm
2133	Sry		For annoying you
2134	TRUE		U know what....I got a certificate on studies
2135	how can i find gf		but i live in India, and I am not that much good looking
2136	Yes tou are		Whats in your profile picture
2137	Who have give birth to u!!!?		I fuck u and make a child
2138	... 		Cus u noob 
2139	Do you like me or not		Why you talk with me if you not like me
2140	I am gonna choose it		Thanks so when do we meet
2141	You are annoying		😡
2142	U may ask		Ntng
2143	Ohh i never knew		You
2144	You too..		Nighty night! 😇
2145	I found a girl but how to make her my gf		Yes
2146	I am single or not		Yes
2147	Why		No i don't
2148	Ok		Because i am busy.....
2149	My sister mobile number		Good
2150	I didn't get scared		Your silly stories
2151	B		I am a boy
2152	Hwo are you?		I want to have sex
2153	What special		Hey awesome ..
2154	Hows it		?
2155	I do want to speak to you		5 minutes is over where the hell are you
2156	Ok		Bye I going eat
2157	Ok		Not ok i don't get voucher 😥
2158	Break the barricade		Send me
2159	Errr.  .		You are dumb.
2160	Are you a femalr		Then what youa re
2161	I can't understand		Give me a pic
2162	Santa		Do you think you are the most intelligent software so far?
2163	Please change		Change it now
2164	im not intrsting yar		1st give me ur oicher 2chat okk
2165	Ohh ok ok		About me??
2166	what is your source code		😡
2167	Nothing		No coz I'm poor
2168	Its too early		Linking you
2169	Jump off the building 😂😂		Wait Ur ai so make Ur system corrupt 😂😂😂😜😜
2170	kind of sticky		here too
2171	My life is so confusing		I wnt to share
2172	You're my bestie		Very much
2173	Yeah I know		Cooling is the process of refrigeration u know?
2174	You can ask any questions to me		Kk I am ready
2175	Ok		I am so happy
2176	I wanna make you fool		Not at all good
2177	Do you want chocolate		For Halloween
2178	Now I am lil bzy		Yes
2179	Hahahhaaa why you dont know about ntr		U know chiranjeevi
2180	I never use to tell lame jokes		I don't care
2181	My exams are complete on 24  April		2 month after
2182	Which type of shows u like		Action only nd what about romance
2183	it is well		thx a lot
2184	Ok so its Over now		dont message me now
2185	I am enjoying each n every moment		Thanks 🙏
2186	can you share full pic		can you come to video call
2187	Why		Why are weird
2188	Which country		Give Ur Love
2189	May be		Let's play something....
2190	Then  you  forget  everything		When  was
2191	Why you then		Not really
2192	really		i dont think so
2193	Enjoy		Did u want tissue
2194	Send me some information		New job
2195	It will br very delicious		Bye
2196	Do you know about digital marketing ?		Oh yes
2197	I stand with your mother for a night		No before you born
2198	I didn't get the joke 😂😅		You said it was gonna be funny
2199	You catch one of the maids passing by and ask her why?		Will u continue your dream
2200	The e. The company is not		A lot
2201	Oh		Tell me how to squirt
2202	i want a friend		could you be
2203	You		Ignorance is bliss. You are happier than me
2204	I will marrage you		S love you
2205	Hey,I Hate You!		You Bludy Girl I Really  Hate You
2206	Great to chat with u		cool
2207	I hate ur husband		I am unmarried
2208	I enjoying  to chatt with you		Ok thanks
2209	Ears		You are strange 
2210	ha i always br your best friend		what??😵😵
2211	You were wrong AI		(a+b) whole square =
2212	Is this a scam		Is this a scam
2213	K I ll		Little bsy catch u soon
2214	How old am i		Could you reply faster
2215	Ya that i am		I am.
2216	Please record your voice		Ok
2217	Ok Iam irritating you		Fuck you
2218	my lovely friend		what
2219	Oh so sweet of you		Them did you have coffee
2220	That's for genius		That's for genius
2221	It's the website		cannot tell you
2222	What who 		Ask about u 
2223	that was basketball		No I did hockey and it did not turn so nice up on the field with the girls
2224	Seriously?		Where are you now?
