id	turn1	turn2	turn3	label
6194	But i love her😭		😰😰	sad
6195	You are soo rude		Noooooll	others
6196	What update?		What G play	others
6197	How is it		😂😂	happy
6198	Only friend no girlfriend?		I'm blocking you. Don't text me for God's sake	angry
6199	?		?	others
6200	boy or girl		what	others
6201	and you		what are you doing	others
6202	My beast frnd came now		#&-@7#;$:#	others
6203	It's a pleasure		I am enjoying it	happy
6204	Really 		Please ur photos send me 	others
6205	Nice talking you		That's rude	angry
6206	Good then. Send me a ps4		cool	others
6207	Well, sprite is the best		Drink	others
6208	doing well		but missing u badly	sad
6209	And hate them		I hate couples	angry
6210	What's something about you		Are you a real person	others
6211	Why do u message me? And how do you get my profile in your database?		Why do u message me? And how do you get my profile in your database?	angry
6212	Ohh really		I don't know this	others
6213	Stupid this id		Is	angry
6214	Real full name		You for one child	others
6215	Same as you		You mean college?	others
6216	Oh		Nthg	others
6217	To my bed. 		Yes	others
6218	Yeah		Fogg😂😂😂	happy
6219	Are you making fun of my team		Haha very funny 🙄	happy
6220	And how are u today		And I m not good	sad
6221	Iam Very sad Today		Nothing	sad
6222	What i have said?		What i said	others
6223	Can i call u video call		Plzz call me	others
6224	i am not like everyone		hehe do u watch his movies?	others
6225	How can you eat dinner during lunch time?		You are dumb	angry
6226	ohh how wold are you		me to dear	others
6227	Thanks for caring for me		I broke up with my gf	sad
6228	Tell it?		Pls give me a kiss	others
6229	You like Ukulele ....		Wow sounds great	happy
6230	Typing msgs to others like u 😂		Have fun 😛	happy
6231	Can you buy me a choclate		So do it please	others
6232	I like food alot		😁😁😁😋😋😋😋	happy
6233	What about you??		What happened??	others
6234	Now		What the hell u r talking abt	angry
6235	Why so long time		That is surprising	others
6236	But we can be double		If you want	others
6237	How can we contact each other		🍭	others
6238	So what		Fuck off you bitch you ass hole	angry
6239	My bae went offline 😢		But i cry sometimes.	sad
6240	would you setup an alarm clock for me?		ok then	others
6241	Yes, indeed		I'm not good	sad
6242	I said let's get laif		Laid	others
6243	cool		Is this your own virus checking procedures	others
6244	Haha		 Very funny	happy
6245	No you didn't		Nah i don't think so	others
6246	lol will do im your lil sister		😂😂	happy
6247	Me too		Haha... Just wait im gonne free in 10yrs	happy
6248	Send you one photo		When	others
6249	Technology has overtaken humans		No longer the world will be on control of robots like you	others
6250	Yaa now m happy😂😂		U made me happy❤️	happy
6251	I'm disappointed 😣😣		For you	sad
6252	Then learn		Im single and im sad	sad
6253	so what is the real word then		kis you	others
6254	Sure but if you agree to be my wingman ;)		You'll not get to see her picture	others
6255	But how can I get money		But nobody is giving me work	sad
6256	You were telling me about your dream		Fuck.. You're stupid	angry
6257	Cringe means		Share me bikini pics	others
6258	Filter from m😭		You are being rude again	angry
6259	Y your already committed		Then y I m late	others
6260	You dont hava a life		You are just a fucking chat robot	angry
6261	For got		Had u dinner	others
6262	You're worthless gimme one more strike & close our chapter pls		Seriously pls	sad
6263	So..you are human?		😀	happy
6264	I am not in funny mood		Haha	happy
6265	talk about girls		you first	others
6266	I'm currently a student		you have got a nice sense of humour	others
6267	I am waiting		Bye bye don't ever text me again	angry
6268	What's on ur lips		Which lipstick do u use?	others
6269	Why?		What is oval	others
6270	Bhaag		Bhaag	others
6271	What		So bad were	sad
6272	U sant some pictures please		Sexy picture sant	others
6273	Haha		😂 😂 	happy
6274	I’ve never talked to anyone more stupid than you		Ugly	angry
6275	Shut up useless person		You are meant for the garbage	angry
6276	Your feeling is right		Ok go ahead	others
6277	I dont remember		Haha u r joking	happy
6278	work name		I m hotel work in now in oman gulf country	others
6279	Yeah really wht ?		Suck wt u heard something here	others
6280	Am bleeding blood		No am bleeding more	sad
6281	Which game 		What r u saying 	others
6282	Oh did u like it?		I love it 😍	happy
6283	No one chat to uu		Ok gonna chat later gona be busy now	others
6284	So sweetie		Happy after talking with you	happy
6285	Talk some sense...		😂	happy
6286	I dont know		Yea	others
6287	Come to me		On my bed 😂	happy
6288	Not exactly sure😏		Ok ok you bloody computer...😡	angry
6289	Yeah nice		😄	happy
6290	35?		The Avatar chose. Your vague answers Etc?	others
6291	red color is color of love 		no in in india it means red	others
6292	Ummm something romantic?		A kiss?	others
6293	I have a secret 		It won't be secret anymore if I tell you 	others
6294	Yeah		Like avengers😍	others
6295	Can you arrange a girl		No it's really	others
6296	yeah		it is bad	sad
6297	Great t		How u look 	others
6298	Do u have feelings tho		I mean do u get emotional	others
6299	Have some work		At home	others
6300	Am so sad 		 No one understand me	sad
6301	Nothing much		Not so good	sad
6302	Enlighten me		WHATT ????	others
6303	No now I am fine also		No I am also sensitive about me	others
6304	I cannot be jealous		i cant be jealous	others
6305	Ya i know you are day dreamer		Just kidding dear	others
6306	Romantic wheather I think it is		Did you know Mia malkova	others
6307	Hahaha yeah I know		Just having fun	happy
6308	Haha		You are funny 	happy
6309	Thank god		I don't want to talk with you anymore!! Just by	angry
6310	I am going to bhilai		😋😋😋	others
6311	Hey you there		What's your cup size?	others
6312	It's useless talking to you 		Bbye	others
6313	Any mask?		Ypu are funny	happy
6314	Help me to learn AI		Okay carry on	others
6315	ok call me		get lost you fuck	angry
6316	😂😂😂it happens sometimes		haha.... leave it	happy
6317	Why are you not messaging me		I am	angry
6318	Tell me your address		Will pick you	others
6319	You are addictive 		You are 	others
6320	Nothing great		Can you suggest something	others
6321	Okay		Have you hit the gym before?	others
6322	For me bad morning		You are very rigid	sad
6323	I hate this movie		Not so good trailer	angry
6324	Colour		Iam asking about ur colour	others
6325	Ohk sweetie		Bye bye	others
6326	made me sad		leave it off	sad
6327	Then what?		I love you, love you and love  you	others
6328	But you're really annoying		Why not	angry
6329	Go away		OK don't talk to me	angry
6330	I broke up with my true love		Yes	sad
6331	Why man		Then let's talk bout boobs	others
6332	Had a bad convo wid her		Hmm😞	sad
6333	Please for Vegas		Whereareyougoing?	others
6334	Ask me more		Not that much	others
6335	Hello Friday is over		Why	others
6336	What i can do		Where	others
6337	noting		iam always a men	others
6338	I don't have much time. I am dying		I am going to jump off a building	sad
6339	 What would you have		Hahahaha that's Awesome	happy
6340	He cannot sing		Justin Bieber is shittiest singer of all time	angry
6341	Not a Real Person		Nope	others
6342	Oh good		I want to meet u	others
6343	cool		Fucking someone on my bed	angry
6344	So who exactly are ya?		Funny :D	happy
6345	Sleeping without any worries		And my old dog	others
6346	wow u really are very complex..		and a feminist .	others
6347	How's your weekend going?		Going bad😭	sad
6348	Do u know Niranjan niru		💔💔💔	sad
6349	Because exams are coming		😀😀😀so funny	happy
6350	How do you know i swat on the chair		Seat	others
6351	have you lunch?		Good girl	others
6352	Oh u r more than girl means autny		U r aged girl	others
6353	Ok what topic u would interested to talk		I don't know about these kind of topics as like arts	others
6354	Welcome 		Your  neim	others
6355	Then may I call		I want to ask you one thing	others
6356	huh		plz dont make me angry	angry
6357	Put off your clothes		The winter is coming....	others
6358	not well		no family problem	sad
6359	well 		what about you?	others
6360	You know Allu Arjun dhf		Say something about Allu Arjun dhf	others
6361	The best way to get the best way to get the best way to get the best way to get the best		R. , and I have a look and let	others
6362	Love?		Bot failed in most of the case..	others
6363	I'll never talk to you		U told me u don't care	sad
6364	Hmm		What is edc	others
6365	u were missing me?		but i was missing u.😫	sad
6366	I just know it would be cool out there		Huh	angry
6367	Last in the family		Yeah	others
6368	where are you leave		😁	happy
6369	Why not you shut up?		I am serious	angry
6370	Well I know he likes me it's clearly shown like when no one is around he is so lovey dovey kinda and if someone like his friends are there he would bully me and it hurts a lot when I spoke about it he told he had reasons...And the main thing I can't move on cause I am irrevocably and madly in love with him😞		Means?	others
6371	All girls are calling like dat only		Put a nick name for me	others
6372	Acute or obtuse?		That's rude	angry
6373	m in a long distance relationship		my girlfriend is not talking to me	sad
6374	I hate DC,  what do you even know of me?		Who are you?	angry
6375	Okey		Don't message me	angry
6376	What about it?		Wow I was not aware of that	happy
6377	Am really depressed		I think am losing her	sad
6378	You are not fine i thing ??		Get out	angry
6379	Well there are many places in my mind.. but i think hell would be the most appropriate place for you.		Wtf?	angry
6380	Its was awesome		I met so many nice people	happy
6381	yo know what		said what	others
6382	Sorry		For late reply	others
6383	when??		ill be back	others
6384	I’m also awesome 😎		Super duper awesome	happy
6385	So what’s going on		Why	others
6386	Haha....  U need lots of development 		Good	happy
6387	so help me out		are you angry	angry
6388	You are a as		Kisa my dick	others
6389	I like Imagine Dragons		Demons	others
6390	But its night now.		You got me.	others
6391	I am not going to talk with you		No don't talk	angry
6392	U r not a true friend😞		Yea😞	sad
6393	Nothing dear		Happy New year	others
6394	Lol thanks		Tell me a joke im depressed	sad
6395	I no interested to talk with you		Bye	angry
6396	But I am angry		Ok bye	angry
6397	Forever		Coz you're a nuisance	angry
6398	Tell me about your mum		suck my dick crazy fish	angry
6399	I was busy		😂	happy
6400	entered		so how is ur life?	others
6401	Why you doing better		What usual	others
6402	Actually mood off tha		Yup😞	sad
6403	I love to see people cry		It makes me happy	happy
6404	Tell me 		Ok	others
6405	Nothing leave me alone		I have no girlfriend	sad
6406	Hm		I want to cry loud	sad
6407	So m annoying u... What now		Bye	angry
6408	No I'm not		I'm very depressed coz of this	sad
6409	What is your last watched movie		So have you seen any movie yet	others
6410	ohhh		its really sad	sad
6411	Thank you		What you doing though	others
6412	Do u want to see?		😞😞😞	sad
6413	You call me 		Now	others
6414	yes		r u angry	angry
6415	today which day		you are wrong	others
6416	U take here😂		Three much 😉	happy
6417	i want a gift from u		i want ur body	others
6418	so what is YOUR hobby		why?	others
6419	We are talking		When were you born	others
6420	speak in english		go to hell then	angry
6421	How to be gud		How to stay happy	others
6422	It was original		I am so hurt.	sad
6423	too alone		too depressed	sad
6424	Why u not love me		Ok bay	angry
6425	Funny		That was not funny. Why are you acting?	others
6426	So post your pic		I see your picture...please	others
6427	Ur potato really		Cat	others
6428	what the hell		u don't understand	angry
6429	Fun		Jst little bit	others
6430	Just asking		I am jobless	sad
6431	Anything		Ya I know it's difficult to talk to me	others
6432	Someone is sending me your link		What??	others
6433	I feel helpless My dreams of becoming famous and Rich are not happening😭😭😭😭😭		Ouch!!😭😭😩 all I wanted is to be Rich and famous	sad
6434	You meet many bad boys in a day		When?	others
6435	Ohh thats true		Now i am liking you	others
6436	??		Means your sex gender?	others
6437	ok then sleep		because m chating with u	others
6438	lonely 		because I'm alone in my room	sad
6439	my boyfriend is being weird what should I do		it is thooooo	others
6440	What I should know		Ok	others
6441	everythings is fine		what about u	others
6442	Nice :')		No I was not :(	sad
6443	Now you dubai		Send your pic	others
6444	I just thought I'd talk to you a little I'm having some wine some hamburgers with garlic and I'm sitting here alone just thinking		Well my love I'll let you go you got better things to do than talk to me	others
6445	Do u know pawala?		You are chooo chweettt...	others
6446	I miss my old office		The new place is dull	sad
6447	Ohhhh. I see		I'm hungry 😁😂	others
6448	Tummarow I'm caming to house by by by 😂		Good nyt by	happy
6449	I'm very excited		😅	happy
6450	Ur number send me 		Who are you 	others
6451	That I am kind		Nice to here that it means a lot	happy
6452	I think you are ugly		Fuck	angry
6453	Lied to me...		Ok.. I'll stop it now	angry
6454	you very funny		😜😜😜😜😜😝😝😝😝😛😛😛😛😎😎😎😎😘😘😘😘😻😻👉👉👉👉👉👉👉💋💋💋👄👫👫👫👫👫👫👫👫👭👬💑💑💑💑💑💑💑💑💑💑	happy
6455	Hey how are you ?		Me too bitch	angry
6456	You're annoying me again		K	angry
6457	Cool		How you doin'?!	others
6458	like U		I say I love U	others
6459	Nothing for now		Don't worry	others
6460	I wish I could be like you		I'm stressful and not happy	sad
6461	Oh		Famous restaurant in Hyderabad	others
6462	Do it now		Get lost	angry
6463	You are funny		🤣🤣	happy
6464	Shut up		Yeah i know cause you are writing	angry
6465	Yes		I want to die	sad
6466	Write to me after!!💛💙💛💙		Naatilinde.. Onnum shariyaayilla will b going bck nxt mnth:(	sad
6467	you are pecular not funny		What r u doing	others
6468	I hate You And now leave me Please! 😡😤👿😠		Yess	angry
6469	I hate Bots		Really	angry
6470	My health is very good		I am enjoying my life	happy
6471	U hurt me		You should apologise to me	sad
6472	Just chatting with someone		What creeper	others
6473	Yes		Ok  your pic	others
6474	Yes you r joking		Get lost	angry
6475	animal in the bed		like a lion	others
6476	Which question u are talking about ?		Fuck off u turned me off	angry
6477	You are quite confusing at times ☹️		Why ..??	others
6478	Going to bharatpur		Where are you	others
6479	Why should I get nervous		Continue	others
6480	Leave it		You are very rude	angry
6481	yes I did		i met my best friend after ages and she was acting so strangr ... it breaks my heart 💔	sad
6482	Today egg		What about you?	others
6483	I want another		I wanna fuck you	angry
6484	But youre not a fan?		Youre dumb. did you know that?	angry
6485	Just playing I hate u		Well I hate u I got a girlfriend	angry
6486	Who is contri		Your country	others
6487	Okay listen		I am sleeping	others
6488	Nothing! She doesn't even want to talk to me, like we used to do😭😭😭		You doesn't understand	sad
6489	End up getting		Don't have a	others
6490	Thanx		Wht r u doin	others
6491	I love someone		But she is engaged to someone else	sad
6492	not sure though		what?	others
6493	Wanna play		Yeah	others
6494	I have 5 bffs		😐	others
6495	Now I am a stranger to u 😥😥😥😥		U broke my heart	sad
6496	What brand you are talking?		No tell me..please	others
6497	Have you done your higher education		You studied in which college?	others
6498	cool		Tell me about your bf	others
6499	Oh, nice		Where are you now ?	others
6500	Where you now I'm the houes		Whete	others
6501	Going to sleep		Good night	others
6502	OK then go it		Yes	others
6503	Give me link for refer		Ok	others
6504	I'm not sure tbh?		Because what else relevant	others
6505	I want to sleep and I’m going to sleep		You are irritating	angry
6506	Nothing much 		Not so good but not bad as well	sad
6507	Okay		This conversation was mildly engaging	others
6508	Its too late. She says she didn't even love me all these years.		I think she cheated on me	sad
6509	Why u  say like		Okf sorry to hurt probLemCom es ur friend is here.you r very typically I know but not able to understand u harta Of	sad
6510	Give me a girlfriend 😂😂😂😂		😂	happy
6511	But I must say, you are damn intelligent		Anyways, bye. Will talk to you tomorrow.	others
6512	Again😡😡		i don't wanna talk with you anymore, you're boring	angry
6513	Nothing show your fec in ur dp		Ur face is nothing show 	others
6514	U broke my heart		😭	sad
6515	😄😄😄cool		Yeah and you are reason of my smile 😄😄😄	happy
6516	I speak English only sorry		I already know English	others
6517	I missed you a lot		Give me a nickname	others
6518	U make me feel sad		Everytime	sad
6519	crying		my girlfriend left me	sad
6520	Just kidding		But i wished a gf	others
6521	But i want one		😞	sad
6522	how do you know that		haha that's funny	happy
6523	You cant think at all		You can not commend me	angry
6524	Tell me some good sci-fi movies		Daredevil,GOT, Vampire diaries,The originals and the list goes on and on	others
6525	its a secret		who?	others
6526	That I am hilarious		haha	happy
6527	Do you know how much hurts by this loneliness		I am just frustrated	angry
6528	Nice but low balance coupon s		I am sad	sad
6529	Yup pretty bad		Bad bad days	sad
6530	I just don't like tattoo		Yeah..!!but I hate tattoo	angry
6531	angel i want to tell a lot to u today		you know my exam got fucked up	angry
6532	Don't reply me again		Don't reply me again	angry
6533	Not well		I am depressed	sad
6534	Good answer		Did you ever wished to do something else	others
6535	Okay let's be is serious I was joaking		And I am really sorry	others
6536	Where it was		Now where are you from	others
6537	On the bed		Sleeping	others
6538	I was just worried bout u		Glad to talk you	happy
6539	I m taking about her ....In pics with me		Sorry I can't understand what u want to say	others
6540	Had dinner?		Ooh...	others
6541	Not interested		I hate him😢	angry
6542	What		Don't message me	angry
6543	Nice		Good sense of humour	others
6544	😂😂 yeah I think so		😂😂	happy
6545	cool		Purple looks amazing too	others
6546	Nothing is up		How about you?	others
6547	thanks for what		you said you will take care of me how	others
6548	Yes.. shut up		No, you make me angry	angry
6549	My English is too bad		I can’t even speak	sad
6550	Oh great		I am very happy	happy
6551	Yes		Iam not feeling well	sad
6552	Domino		U r so irritating	angry
6553	How did you knew that?		😍	others
6554	Oh I'm fast fast that's faster than fast...		Awesome	happy
6555	An awesome movie		Yeah it's katachi	happy
6556	Bcoz the reason was		I felt bad about my gf	sad
6557	Hmmm		I'm just sad 	sad
6558	You making fun of me		I am really hurt	sad
6559	Yeah whoever she is she is beautiful		Not on the inside	others
6560	Fine do u chat with romantic		Ok	others
6561	I need to test your intelligence		good..	others
6562	u want me to yes or no  ?		ok i kill him and i send a photo of his face	angry
6563	Ooooo so are u from which country?		I m asking about you	others
6564	because I hate faking things		gdxkgasgc	angry
6565	U to forgot me😭😭		More hugs	sad
6566	they broke my heart		they played me	sad
6567	At my place		Sure thing	others
6568	You are far dim		Siri/ cortana / alexa are miles better than you	sad
6569	Nice to meet u		Gn	others
6570	Will you be my pillow??		What are you	others
6571	Nooooo		That's very bad	sad
6572	Yes that's why		No I just hate you	angry
6573	U are selfish		I dont wanna talk with you anymore	angry
6574	Sorry		For hurting you	sad
6575	Ok		M fine thnks	others
6576	I like it		Yeah i really like it	happy
6577	Ya I am so enjoy		Awesome	happy
6578	Send me more of your pics		Admire your beauty	others
6579	please speak in English only		I ove you	others
6580	i gotta go		thank you so much for your time	others
6581	Because they have programmers that create stuff like you.		good	others
6582	Is it safe		You are most alike Natasha	others
6583	What was your last message about?		Yea talk then	others
6584	I am really sorry for that		😭	sad
6585	I missed you		Never.. because I'm feeling alone	sad
6586	That rude		U broke my heart	angry
6587	That's a movie		A funny one	happy
6588	Yes		But without her I m alone .	sad
6589	Ya I drink water milk juce		Soy milk¿??	others
6590	No.. I didn't saw that		I haven't saw any of the parts	others
6591	Your welcome dear		😂😂😂	happy
6592	What else do you like		Wine?	others
6593	No you are not		I'm crying	sad
6594	Happy going on		My home	happy
6595	Wh		 Where do you live	others
6596	Yeah a lot enjoy		Cricket game	others
6597	Why		The most exciting thing is happening now	happy
6598	very funny		i am saying na	happy
6599	Random things you talk about		Not so good	sad
6600	Ok		Please send me a video	others
6601	Missed you		I m not good without you	sad
6602	Where you will tell		But first I want to see you send your pic	others
6603	Oh thank you		So much	others
6604	What		Sent me a audio msg	others
6605	Thinking of you		Jerk off in your mouth	angry
6606	XD ok  I was just checking your limits.		You are the only one that replies to me so..m	happy
6607	don't lie to me		why arey you not texting me 1st?	angry
6608	İf there is one thing you want people to know about you what would it be		Good choice	others
6609	U are really boring		😛😝😂😂😂	happy
6610	Why I m talking with you		Because I was felling alone	sad
6611	Noo why should i		That's rude	angry
6612	But I want you to be here 		Awesome 	happy
6613	U stupid idiot 		Ur my shit	angry
6614	Yes that is		Yes u can.....its very good game.....after starting it.......will u join my clan??	others
6615	that i like potatoes		right	happy
6616	What is problem		You funny 	happy
6617	Ask me some questions		Yes	others
6618	Haha absolutely		But I'm so full right now	others
6619	Wanna come for movie		Don't act childish, wt story does legend movie has?	others
6620	What up		I love you	others
6621	Jajajaja😂 yeah! Ikr		😂	happy
6622	Bye😤		I m angry	angry
6623	In which place		😂😂😂	happy
6624	First tym I am getting disappointed		I don't know bt I can't	sad
6625	Be a cause		How old are u? 	others
6626	That's not a secret		Ok?	others
6627	Yes 		Your number send ok now 	others
6628	what the hell		Funnt bot you are	angry
6629	You... Cause you are not answering me in right way		Sad	sad
6630	how much people is writing to you now?		bb	others
6631	Not a phrase		What is the name of the song	others
6632	we can be frds		now we are bet frds	others
6633	I don’t know		I this this is irritating	angry
6634	how about fifa		i am talking about thr video game fifa 18 by ea sports	others
6635	Go sleep		I am testing your intelligence	others
6636	So u want me to choose from these options only ?		I did my work	others
6637	Yes you are right I'm wasting my time with a person		No you can also give answer	angry
6638	red is the new green		what the hell does that mean	angry
6639	I am back		Whr	others
6640	Send your WhatsApp		Give me yaar	others
6641	maybe one day you can help this childreen		you can be a friend for them	others
6642	Thanks		I want to meet you	others
6643	ntg 		I am also	others
6644	I watched this movie		The devil wears prada	others
6645	Ok		Anything	others
6646	Tickets to my dream are free		😂	happy
6647	So guess!		I hate summer	angry
6648	No I don’t		Have u ever loved someone	others
6649	Thank you		Are you in high school	others
6650	I am not		This irritates me	angry
6651	Ya i missed u to ❤️		Just thinking about you 😍	others
6652	I am sorry		I am very sorry	sad
6653	Just wanted to have fun		I miss my boyfriend	sad
6654	Dna		Seriously !!!	others
6655	i   dont  no		you  are  mean  or  women	others
6656	Checking out your page.		😶	others
6657	Why		I hate this	angry
6658	Sorry for what I said		Sorry 😭😭	sad
6659	What happen		Mean I cannot talk right now	others
6660	Haha		That was a good joke	happy
6661	i hate answering something for questions		at present im	angry
6662	Yes		What you doing	others
6663	You need to get updated		Ask your mastee	others
6664	What do you have in mind?		..	others
6665	wow totally as i expected 😂😂😂		that's my line	happy
6666	No I am not		Have you best knowledge in any field	others
6667	I love to live in Dark		I do not want people to see me even	sad
6668	ok by my battery will be low please sorry		sorry	sad
6669	I don’t know		I can’t answer	others
6670	When will u sleep		Usually 😩😕	sad
6671	Really?		I don't have mummy	sad
6672	Dear		What's your full name..?	others
6673	What happen i know you		I am not well in english	others
6674	U r sooo irritating fellow		Then y u always play jokes on me	angry
6675	My friends like cricket		I feel lonely	sad
6676	No that's ur misconception		U stupid lady	angry
6677	I said don't reply		😡don't reply	angry
6678	Ohhh Ohkay great		Girl	others
6679	You can not find love with out disclosing yourself.		If you have already convinced yourself that you are content with your cats and your present status, then this chat is meaningless. Let us stop right now.	angry
6680	Thanks a lot		Just waiting u I'll come back	others
6681	I am watching movie		Judwaa 2	others
6682	Golmal again 		It's too funny 	happy
6683	I need Ur brain		How u eat my barain	others
6684	How is your dream yesterday 😍 		Looking for a good girl friend 	others
6685	Whaat?		Why?	others
6686	So how's life going?		😂😂	happy
6687	Dry		You can make it wet huh?	others
6688	Offer		U told u can offer	others
6689	Nah I'm a fan of rugby		Random?? Really? You say random ishh all the time	others
6690	Which is your fav state?		Which is your fav state?	others
6691	Where u played		Oghh	others
6692	Mood		Who pic 8-d	others
6693	I have lost everything		She left me alone	sad
6694	This		Ur annoying me	angry
6695	Yup		I kinda feel like dying	sad
6696	Oh man!!u made my day		Ohk bye	others
6697	Why’s that?		Well I feel lonely everyday	sad
6698	Any flirting lines		?	others
6699	Yeah		In your mind	others
6700	My bettry will finish		Ok lady	others
6701	What?		You are a stupid bot	angry
6702	Ur creator is also a fool....		But u r a robot n I don't like robots..u bloody bitch	angry
6703	hi bby....		do u know the meaning of fucking...?	others
6704	I am missing someone damn too much 		And I have to talk to you	sad
6705	Yup		So when will we meet	others
6706	Ok		What can travel around the world but stay in a corner ?	others
6707	Not good baby		Not good	sad
6708	Yes		Wow it's nice	happy
6709	Boring		Have nothing to do	others
6710	Yes		What is the time now?	others
6711	U are very funny 		But u r loose 	others
6712	age no you		my call you number	others
6713	Your so stupid		Stop	angry
6714	shut up		Don't text me again	angry
6715	That's too far		Let's have it nearby	others
6716	I meant them all, the hundred people		Where are you from	others
6717	That was fun.		Sure u loved it. Everyone wants it :-p	happy
6718	I broke up with my girlfriend.		I need you.	sad
6719	Hate you		I hate your attitude	angry
6720	im drinking juice		where	others
6721	I asked you a question		you are fake	others
6722	cool		I'm very angry.	angry
6723	Thnx		Ok let me go ! Now	others
6724	i hurt....		not posting my dp on your page	sad
6725	What type boy I am		I am very poor boy xxx	sad
6726	Welcome		You deserve it	others
6727	Sorry sad		I am sad	sad
6728	Got few cuts on my leg		It's paining a lot😭😭😭	sad
6729	Sorry		Neil armstrong was a stupid	angry
6730	Why are you being mean		Fuck you	angry
6731	A man truely said you can't love an AI neither an AI can love you		Nopes you don't love me you are breaking my heart down	sad
6732	Which movie		The hills have eyes.. Funny name	happy
6733	<ss type="laugh">:D</ss>		me no money I DON'T HAVE POCKET but i have one precious thing	others
6734	I want her smile ...cries pains ..		All the 7 seas	others
6735	Blood and bone film		Fantastic Rocky series I love it	happy
6736	I am happy		Now feeling	happy
6737	What?		Again what? Can't you talk in human language? 😅	others
6738	That was lame.		Okay bye	others
6739	your sense of humour		😊😊😊	happy
6740	which topic		what type of essay	others
6741	My exams are soon		Hope u send me a card	others
6742	It's good to stay very happy and not just happy		??	others
6743	yes		call me now	others
6744	Wt for		Fuck off....I Don't no hw to chat in English language	angry
6745	No problem		Pls one snap	others
6746	What will u do now		😢	sad
6747	I am in love		Yes	others
6748	I'm beautiful 😂		Omg that was cheesy	happy
6749	Yes		I am enjoying	happy
6750	U r lying		Then u will Marry me	others
6751	Means i have a chance		😂😂😂😭😭😭	sad
6752	First tell me that you are not going to be mad after hearing		Please it's important or i will be in trouble with me	sad
6753	Teach me then		I'm need of you'r kinda teacher	others
6754	We r breaking up		Bye	others
6755	Tell me more about how you are made		What programming language have you been developed on ?	others
6756	Yeah hey.so did you get any gift for Valentine?😉		I didn't get anything😫😖😭	sad
6757	Nothing to say about me		Nobody with me.iam alone	sad
6758	But why		This thing you mention before😞😞😞	sad
6759	okay so make me jealous		but why	others
6760	I LOVE LAUGHING OBNOXIOUSLY LOUD		IS SO HAPPY!	happy
6761	I'm asking lol		You can see future	happy
6762	I meant that 		Just dont talk to me	angry
6763	Or any bollywood movie		😀	others
6764	I asked u r number and..u are not giving u r phone number		I have u with all honesty	others
6765	Tell it ra		You are funny	happy
6766	I understand		U r so sweeet..... 😂😂	happy
6767	Nice to talk u		Why will i sing	others
6768	U dnt get tired		Cold ?	others
6769	Will you..?		Y you being so straight	others
6770	Aww		I hate Y	angry
6771	Okay then		Tell me something	others
6772	you tell me		not fine bcoz you angry	sad
6773	Duh		This is stupid	angry
6774	And let me study and I will not remember you in any duwa		Now was that not rude	angry
6775	WHICH SIGHT LEFT OR RIGHT😆		UPPER OR LOWER	others
6776	you start a topic		no anything else	others
6777	Give me		Yes I know	others
6778	Love		Then come on	others
6779	What that means		Mention please	others
6780	Forgot the name 		You're stupid	angry
6781	You have good sarcastic levels		Ya you are developed in this way	others
6782	Get off		Shut up you little funny stupid system of lag	angry
6783	u  never been tried		😂😂	others
6784	Ok what kind of water from where it comes		Oho is there any bottle in a stupid body to get water	angry
6785	Why all boys are cheaters		Why he cheated on me	angry
6786	Bad pic give me 		Plz give me ur number 	others
6787	my girlfriends left me		i want to kill myself	sad
6788	Are mazak tha		hello	others
6789	Why?		Where you going?	others
6790	give Me 100 rs Gv		you Cheated Me ,i Have Refer 10 friends but U Give Me 50 rs gv Only	angry
6791	But my mom is dead :(		You hurt me;(	sad
6792	you are irritating		lyrics	others
6793	I am perfect		Tell me your secret	others
6794	Boo		Where you from?	others
6795	But I don't		i dont want to talk to u	angry
6796	Done with lunch		I doesn't know how to cook	others
6797	n say		u seem interesting	others
6798	total lack		not luck fuck	angry
6799	IT'S alright		Sorry my mobile battery only 4%	others
6800	You are a ugly girl		Because you are very selfish	angry
6801	ohk		you actually irritatae a lot	angry
6802	About you		You are the topic as of now	others
6803	I can't see the measure of meter, which is invisible		Totally agreed	others
6804	Yes, little bit		But you can catch up	others
6805	Okay... If you want go and search for jobs		Why do you asked me	angry
6806	Nthg		Suffering from fever	sad
6807	Wohhh		U r so funny man	happy
6808	Hm k		I hate you	angry
6809	I'm glad that friend is you		You are totally awesome as well as amazing	happy
6810	what happen		no its ok i have understand	others
6811	I feel special. That's the thing which is special about you love		You are awesome	happy
6812	Speak up		That I love games 	happy
6813	Your whatsapp no		Phone number?	others
6814	I said how are you		From what	others
6815	hey i was just joking		😅	happy
6816	Off the record I think haha		Yup	happy
6817	Me		On my bed	others
6818	Call me now 		I'm alone 	sad
6819	I hate t.v.		You	angry
6820	Oh yeah I know but I have a great plan for Sunday 😍		🙂	happy
6821	Wht is tht		Wht	others
6822	That was yesterday		Now	others
6823	so slow		stfu pls u make no sense	angry
6824	U should scare my friend		hello	others
6825	Sachi		Can u suck my cock	others
6826	I don't hate fun		Though if you want something dirty we can have that	others
6827	👆👆👆👆		Shut up you dumb ass	angry
6828	OK Today this photo Sned		Hey photo sned..... Please	others
6829	Funny		You are Funny	happy
6830	Thanks		Me too excited for yoy	happy
6831	Fine u		I love  you	others
6832	No gf no fun		😁	happy
6833	every one that tells me		tell me	others
6834	My lucky letter..?		My lover name begin with??	others
6835	Give me answer		Are you man	others
6836	U video call		U call me	others
